number,ttr_h,ttr_outlier,ttr_h_log,ttr_h_winsor,opened_at,contact_type,category,subcategory,impact_level,urgency_level,priority_level
INC0000045,10.216666666666667,0,2.417400767422627,10.216666666666667,2016-02-29 01:16:00+00:00,Phone,Category 55,Subcategory 170,2,2,3
INC0000047,29.2,0,3.407841924380824,29.2,2016-02-29 04:40:00+00:00,Phone,Category 40,Subcategory 215,2,2,3
INC0000057,20.75,0,3.079613757534693,20.75,2016-02-29 06:10:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000060,53.46666666666667,0,3.997588893757793,53.46666666666667,2016-02-29 06:38:00+00:00,Phone,Category 9,Subcategory 97,2,2,3
INC0000062,8.883333333333333,0,2.290849836775625,8.883333333333333,2016-02-29 06:58:00+00:00,Phone,Category 53,Subcategory 168,1,2,2
INC0000063,8.883333333333333,0,2.290849836775625,8.883333333333333,2016-02-29 07:08:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000064,80.83333333333333,0,4.404684658566466,80.83333333333333,2016-02-29 07:10:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000065,55.71666666666667,0,4.038068112278805,55.71666666666667,2016-02-29 07:38:00+00:00,Phone,Category 45,Subcategory 94,2,2,3
INC0000066,54.56666666666667,0,4.017583501088638,54.56666666666667,2016-02-29 08:03:00+00:00,Phone,Category 55,Subcategory 185,2,2,3
INC0000067,51.13333333333333,0,3.953804539443101,51.13333333333333,2016-02-29 08:03:00+00:00,Phone,Category 9,Subcategory 110,2,2,3
INC0000070,193.73333333333332,0,5.271631101285531,193.73333333333332,2016-02-29 08:11:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000071,26.433333333333334,0,3.3117588190149143,26.433333333333334,2016-02-29 08:12:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000073,31.25,0,3.4735180432417816,31.25,2016-02-29 08:22:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000074,1014.2666666666667,0,6.922906582749481,1014.2666666666667,2016-02-29 08:23:00+00:00,Phone,Category 45,Subcategory 220,2,2,3
INC0000076,8.033333333333333,0,2.2009214392175456,8.033333333333333,2016-02-29 08:25:00+00:00,Phone,Category 42,Subcategory 224,2,2,3
INC0000077,0.6166666666666667,0,0.4803664162812822,0.6166666666666667,2016-02-29 08:27:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000079,2.8,0,1.33500106673234,2.8,2016-02-29 08:32:00+00:00,Phone,Category 55,Subcategory 170,2,2,3
INC0000080,51.11666666666667,0,3.953484795235741,51.11666666666667,2016-02-29 08:33:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000083,7.433333333333334,0,2.132192107065365,7.433333333333334,2016-02-29 08:39:00+00:00,Phone,Category 24,Subcategory 164,3,3,3
INC0000084,1038.1166666666666,0,6.94612627225135,1038.1166666666666,2016-02-29 08:39:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000085,54.05,0,4.008241863168689,54.05,2016-02-29 08:41:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000086,31.033333333333335,0,3.466777027308137,31.033333333333335,2016-02-29 08:43:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000087,53.983333333333334,0,4.007030109006481,53.983333333333334,2016-02-29 08:47:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000088,0.2833333333333333,0,0.24946085963158315,0.2833333333333333,2016-02-29 08:48:00+00:00,Phone,Category 42,Subcategory 224,2,2,3
INC0000089,77.73333333333333,0,4.366066615095153,77.73333333333333,2016-02-29 08:51:00+00:00,Phone,Category 45,Subcategory 94,2,3,3
INC0000092,167.83333333333334,0,5.128912035020629,167.83333333333334,2016-02-29 08:55:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000093,,0,,,2016-02-29 08:56:00+00:00,Phone,Category 61,Subcategory 164,2,2,3
INC0000094,241.78333333333333,0,5.492169413226847,241.78333333333333,2016-02-29 08:58:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000098,53.81666666666667,0,4.003994283966956,53.81666666666667,2016-02-29 09:02:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000099,24.033333333333335,0,3.2202082701019794,24.033333333333335,2016-02-29 09:03:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000100,53.8,0,4.00369019395397,53.8,2016-02-29 09:05:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000101,1.9166666666666667,0,1.0704414117014134,1.9166666666666667,2016-02-29 09:05:00+00:00,Phone,Category 55,Subcategory 170,2,3,3
INC0000102,415.3666666666667,0,6.0315662823037535,415.3666666666667,2016-02-29 09:06:00+00:00,Phone,Category 37,Subcategory 135,2,2,3
INC0000103,53.78333333333333,0,4.003386011442118,53.78333333333333,2016-02-29 09:07:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000104,26.783333333333335,0,3.3244363205286933,26.783333333333335,2016-02-29 09:08:00+00:00,Phone,Category 53,Subcategory 168,1,2,2
INC0000105,2.8,0,1.33500106673234,2.8,2016-02-29 09:10:00+00:00,Phone,Category 45,Subcategory 223,2,2,3
INC0000110,53.7,0,4.001863709427935,53.7,2016-02-29 09:13:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000111,53.7,0,4.001863709427935,53.7,2016-02-29 09:14:00+00:00,Phone,Category 53,Subcategory 130,2,2,3
INC0000112,53.96666666666667,0,4.006726940897444,53.96666666666667,2016-02-29 09:15:00+00:00,Phone,Category 37,Subcategory 135,2,2,3
INC0000113,58.2,0,4.0809215418899605,58.2,2016-02-29 09:18:00+00:00,Phone,Category 55,Subcategory 23,2,2,3
INC0000114,64.0,0,4.174387269895637,64.0,2016-02-29 09:18:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000115,23.5,0,3.1986731175506815,23.5,2016-02-29 09:20:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000116,26.7,0,3.3214324131932926,26.7,2016-02-29 09:20:00+00:00,Phone,Category 37,Subcategory 135,2,2,3
INC0000119,23.683333333333334,0,3.206128252045698,23.683333333333334,2016-02-29 09:22:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000121,7.1,0,2.0918640616783932,7.1,2016-02-29 09:25:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000122,31.383333333333333,0,3.4776438871553395,31.383333333333333,2016-02-29 09:27:00+00:00,Phone,Category 45,Subcategory 107,2,2,3
INC0000123,53.45,0,3.9972828493789696,53.45,2016-02-29 09:29:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000124,1.5833333333333333,0,0.9490805546971459,1.5833333333333333,2016-02-29 09:30:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000125,23.016666666666666,0,3.1787480337774214,23.016666666666666,2016-02-29 09:31:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000126,53.43333333333333,0,3.9969767113083097,53.43333333333333,2016-02-29 09:31:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000128,266.65,0,5.58968015683939,266.65,2016-02-29 09:36:00+00:00,Phone,Category 44,Subcategory 54,2,2,3
INC0000129,531.8333333333334,0,6.278208679831787,531.8333333333334,2016-02-29 09:40:00+00:00,Phone,Category 23,Subcategory 75,2,2,3
INC0000130,72.58333333333333,0,4.29841855081596,72.58333333333333,2016-02-29 09:41:00+00:00,Phone,Category 61,Subcategory 164,2,2,3
INC0000131,71.76666666666667,0,4.287257974887789,71.76666666666667,2016-02-29 09:41:00+00:00,Phone,Category 45,Subcategory 220,2,2,3
INC0000132,77.6,0,4.364371699435161,77.6,2016-02-29 09:42:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000134,70.61666666666666,0,4.2713278215528945,70.61666666666666,2016-02-29 09:44:00+00:00,Phone,Category 62,Subcategory 192,3,3,3
INC0000135,6.533333333333333,0,2.0193376176101303,6.533333333333333,2016-02-29 09:45:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000137,1.25,0,0.8109302162163288,1.25,2016-02-29 09:48:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000139,24.1,0,3.2228678461377385,24.1,2016-02-29 09:50:00+00:00,Phone,Category 53,Subcategory 303,2,2,3
INC0000140,74.13333333333334,0,4.319264312937566,74.13333333333334,2016-02-29 09:51:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000141,53.1,0,3.9908341858524357,53.1,2016-02-29 09:52:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000146,53.03333333333333,0,3.9896011400735207,53.03333333333333,2016-02-29 09:57:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000147,335.81666666666666,0,5.819538766496148,335.81666666666666,2016-02-29 10:00:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000148,53.0,0,3.9889840465642745,53.0,2016-02-29 10:00:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000149,53.0,0,3.9889840465642745,53.0,2016-02-29 10:01:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000152,71.25,0,4.2801323269925415,71.25,2016-02-29 10:08:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000153,52.75,0,3.984343667007772,52.75,2016-02-29 10:10:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000155,52.833333333333336,0,3.9858928539946015,52.833333333333336,2016-02-29 10:12:00+00:00,Phone,Category 53,Subcategory 194,2,2,3
INC0000156,52.8,0,3.9852734671677386,52.8,2016-02-29 10:14:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000158,52.81666666666667,0,3.9855832085361746,52.81666666666667,2016-02-29 10:17:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000159,47.86666666666667,0,3.889095500784441,47.86666666666667,2016-02-29 10:17:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000160,,0,,,2016-02-29 10:18:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000161,191.06666666666666,0,5.257842533982318,191.06666666666666,2016-02-29 10:18:00+00:00,Phone,Category 37,Subcategory 135,3,3,3
INC0000164,76.26666666666667,0,4.347262642237542,76.26666666666667,2016-02-29 10:18:00+00:00,Phone,Category 53,Subcategory 114,2,2,3
INC0000166,6.0,0,1.9459101490553132,6.0,2016-02-29 10:24:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000167,0.5833333333333334,0,0.4595323293784402,0.5833333333333334,2016-02-29 10:27:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000168,22.633333333333333,0,3.162658144869972,22.633333333333333,2016-02-29 10:27:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000169,52.6,0,3.9815490680767565,52.6,2016-02-29 10:30:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
